Product Name,Unit,Sub Unit,Conversion Unit Rate,Stock,Tax,MRP(optional),Sale Margin(optional),Purchase Margin(optional),Sale Price,Sale Tax,Purchased Price,Purchase Tax,Description,Brand,Category,Sub Category,Barcode,Type,Product Code,HSNC/GTIN/UPC/EAN/JAN/ISBN,Batch No,Bin Location
p1,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p2,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p3,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p4,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p5,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p6,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p7,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p8,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p9,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p10,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p11,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p12,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p13,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p14,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p15,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p16,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p17,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p18,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p19,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p20,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p21,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p22,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p23,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p24,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p25,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p26,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p27,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p28,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p29,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p30,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p31,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p32,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p33,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p34,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p35,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p36,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p37,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p38,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p39,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p40,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p41,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p42,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p43,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p44,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p45,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p46,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p47,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p48,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p49,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p50,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p51,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p52,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p53,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p54,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p55,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p56,Kg,G,,,,10,,,,,,,,Fruits,Fruits,,,product,,,,
p57,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p58,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p59,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p60,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p61,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p62,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p63,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
p64,Kg,G,,,,10,,,,,,,,Vegetables,Vegetables,,,product,,,,
