"Product Name",Unit,"Sub Unit","Conversion Unit Rate",Stock,Tax,MRP(optional),"Sale Margin(optional)","Purchase Margin(optional)","Sale Price","Sale Tax","Purchased Price","Purchase Tax",Description,Brand,Category,"Sub Category",Barcode,Type,"Product Code",HSNC/GTIN/UPC/EAN/JAN/ISBN,"Batch No","Bin Location"
"SpriteGenix ERP",Nos,None,0,0,18,600,0,0,600,with,600,with,"Billing Software for the month",WEB,"SpriteGenix ERP",,0000010000000,product,,,,
"Student&#039;s Charge",Nos,None,0,0,18,10,0,0,10,with,10,with,,WEB,"School Software",,0000020000000,product,,,,
"Management,  Teachers and Staff",Nos,None,0,0,18,25,0,0,25,with,25,with,,WEB,"School Software",,0000030000000,product,,,,
"DOMAIN and HOSTING",Nos,None,0,0,18,7820.96,0,0,7820.96,with,7820.96,with,,WEB,Quotation,,0000040000000,product,,,,
"5 PAGES BLOG WEBSITE WITH ADMIN PANEL",Nos,None,0,0,18,10000,0,0,10000,with,10000,with,,WEB,Quotation,,0000050000000,product,,,,
Test,K,,0,0,0,100,0,0,100,with,100,with,dsdsf,WEB,"SpriteGenix ERP",,0000060000000,product,002,,,
"Customized Software and Mobile app",Nos,,0,0,0,565812.85,0,0,565813,with,565813,with,"Car Rental Software and App",WEB,Quotation,,0000070000000,product,,,,
"Website Redesign",Nos,,0,0,0,70657.11,0,0,70657.1,with,70657.1,with,"Complete redesign",WEB,Quotation,,0000080000000,product,,,,
"Cloud Hosting Charges",Nos,None,0,0,0,16725.04,0,0,16725,with,16725,with,"Cloud Hosting Charges",WEB,Invoice,,0000090000000,product,,,,
"Company Profile",Nos,None,0,0,0,100,0,0,100,with,100,with,"Company Profile",WEB,Invoice,,0000100000000,product,,,,
"Installation Charges",Nos,,0,0,18,400,0,0,400,with,400,with,"Installation Charges",WEB,"SpriteGenix ERP",,0000110000000,product,,,,
"Additional Branch",Nos,,0,0,18,150,0,0,150,with,150,with,"Additional Branch",WEB,"SpriteGenix ERP",,0000120000000,product,,,,
"Email Signature",Nos,,0,0,0,2128.15,0,0,2128.15,with,2128.15,with,"Email Signature",WEB,Invoice,,,product,,,,
"Scanner TVS",Nos,None,0,0,18,1550,0,0,1550,without,1550,without,"Scanner TVS",Electronic,"SpriteGenix ERP",,,product,,,,
"Indentix Biomatrix Device",Nos,None,0,0,0,100,0,0,100,without,100,without,"Indentix Biomatrix Device",Electronic,"SpriteGenix ERP",,,product,,,,
Tomato,Kg,None,0,0,0,100,0,0,100,with,100,with,,Electronic,"School Software",,,product,,,,
